timestamp,eth_price,btc_price,eth_btc,eth_btc_ma30,eth_btc_change_30d
2024-01-20,2472.01,41696.04,0.05928644542743148,0.05483815590970352,16.109957182228783
2024-01-21,2457.05,41580.33,0.05909164261082103,0.055045622191751756,11.772772145065025
2024-01-22,2314.2,39568.02,0.05848662632095313,0.05523462269068857,10.735287294797047
2024-01-23,2242.6,39897.6,0.05620889477061277,0.055352827994474045,6.7337161074534135
2024-01-24,2235.02,40084.88,0.055757183257128376,0.05547394343546315,6.970844037530521
2024-01-25,2218.64,39961.09,0.05552000708689378,0.05557526810211262,5.792158020882843
2024-01-26,2267.68,41823.51,0.05422022207127043,0.055557132608694375,-0.9934664242061575
2024-01-27,2267.94,42120.63,0.05384392398689194,0.05551613517961097,-2.2332249200643473
2024-01-28,2256.9,42031.06,0.05369600481167975,0.05548414422995627,-1.7559520871306744
2024-01-29,2317.6,43302.7,0.053520912090931974,0.055455435530795,-1.5837193077890888
2024-01-30,2343.01,42941.1,0.05456334374294092,0.055475351465240595,1.1071406443899923
2024-01-31,2283.14,42580.0,0.05362000939408173,0.05548807823288633,0.717159828332159
2024-02-01,2304.28,43082.94,0.053484743613133184,0.05552414593850656,2.0648380935479382
2024-02-02,2309.06,43200.0,0.053450462962962964,0.05558667906005019,3.637446339564754
2024-02-03,2296.49,43011.09,0.053392973765603244,0.05565481516841632,3.9807739378559193
2024-02-04,2289.79,42582.88,0.05377254896803598,0.05573411054161797,4.6287030551368735
2024-02-05,2301.83,42708.7,0.05389604459981222,0.05583186163126526,5.754180941405007
2024-02-06,2372.64,43098.95,0.055050993121642175,0.05598128159545634,8.864428062252138
2024-02-07,2425.1,44349.6,0.054681440193372656,0.05614947842757241,10.16591226449286
2024-02-08,2419.55,45288.65,0.05342508553467591,0.05623560630583736,5.0821653466041505
2024-02-09,2486.56,47132.77,0.05275650041361881,0.05614766902025326,-4.762409447063998
2024-02-10,2500.24,47751.09,0.05235985189029193,0.056009773810471404,-7.322296159275932
2024-02-11,2507.21,48299.99,0.051909120478078774,0.055774689767565236,-11.961202361464418
2024-02-12,2659.99,49917.27,0.05328797027561804,0.05554526820659274,-11.43855117388638
2024-02-13,2639.99,49699.59,0.05311894927101008,0.05534071752637306,-10.356040446524172
2024-02-14,2774.81,51795.17,0.053572755915271636,0.055156966916916315,-9.329766779347558
2024-02-15,2822.59,51880.0,0.05440612952968389,0.05497118223880423,-9.292382494201624
2024-02-16,2801.8,52124.11,0.053752476541086266,0.05479127750365941,-9.124559350516758
2024-02-17,2785.93,51642.64,0.05394631258200588,0.054596617961573106,-9.767799497620299
2024-02-18,2881.2,52137.67,0.0552613877835354,0.05444469876703587,-7.618948173517881
2024-02-19,2944.8,51774.73,0.056877167683926116,0.054364389508919024,-4.063791860239618
2024-02-20,3014.81,52258.82,0.05768997463011985,0.054317667242895655,-2.372024060885569
2024-02-21,2967.9,51849.39,0.057240789139467216,0.05427613933684613,-2.130123174910481
2024-02-22,2971.4,51288.42,0.05793510503930517,0.05433367967913587,3.0710624639339157
2024-02-23,2922.24,50744.15,0.05758772193444958,0.05439469763504658,3.2830544342233647
2024-02-24,2992.62,51568.22,0.05803225319780283,0.05447843917207688,4.524938382981758
2024-02-25,3112.59,51728.85,0.06017125839835991,0.05467680704964653,10.975676785807087
2024-02-26,3175.94,54476.47,0.05829929876146527,0.05482531954213231,8.274610103932933
