episode,reward,pnl,loss
1,-1399.7533805389598,0.3613884064893007,0.0
2,-2748.6445682593694,-0.5548436052417768,0.0
3,-1156.2821739211574,0.5846994860027244,0.0
4,-956.4971060999013,0.2880242083382913,0.0
5,-1149.176794075447,0.08224825721088411,0.0
6,-1526.3368867393197,0.28708489247826274,0.0
7,-1551.7452702952878,0.6684829742318178,0.0
8,-1759.9752628474464,0.25385929842675786,0.0
9,-1465.289288139967,-0.6217591957692877,0.0
10,-1335.633790248279,-0.032180359017595854,0.0
11,-1039.4489022203225,0.4361604952177996,0.1350573450047383
12,-1428.316350489263,0.32701117114414746,0.07366079861543263
13,-200.0396852421288,0.5902760273940003,0.05930258987891698
14,-1373.24650643439,-0.2811912383527714,0.053997170092494204
15,-475.49036441958646,0.8227967671209429,0.051413772277358834
16,-1967.983697724417,0.2670152370531456,0.04964541596499807
17,-661.9980011032407,0.7381546884916,0.046113194538566424
18,-699.06228727617,0.15787434898168967,0.047956510385700604
19,-1095.0208939875033,0.2618600238465294,0.04677512888666643
20,-2585.49598317827,-0.7233648920882704,0.042714827226241
21,-1807.8789260213575,0.7338889231171204,0.09426625874294169
22,-2341.7595134588005,-0.136720523813237,0.08006540452246147
23,-1979.4203485420546,0.2860249319044276,0.06472404059553784
24,-1786.0801772363168,0.13090231652161516,0.06038481574724538
25,-1612.6143155072407,0.4033812212965798,0.058880745141621144
26,-723.0484231013452,0.7364738760390672,0.06875141553735438
27,-2434.050088271611,-0.12381068704404025,0.0719990575906931
28,-699.2471806426797,0.2583630433576903,0.07740162774312938
29,-502.50114967676154,1.239956665517683,0.08126603824139134
30,-2558.8620755959782,-0.3123836349415729,0.08209701913645144
31,-626.815961400769,0.7962835327328242,0.07506019847580288
32,-1097.3424205427636,0.04661733834399208,0.08264244064919767
33,-2643.904279847269,-0.8969314305369467,0.080310249354517
34,-749.2184683856531,0.43212966941292297,0.0700171483296709
35,-1519.7706150051708,-0.02339222034282712,0.07544398311574037
36,-1054.723412415211,0.6579677337312084,0.07849116901633679
37,-1513.604761106072,0.6865690334325298,0.06955253434930744
38,-494.8292393777042,0.9515520056406953,0.07964745380931076
39,-2042.211545520355,-0.06061005870947457,0.08085709807741129
40,-1038.5032082970931,-0.1487128160237355,0.07686873936160035
41,-569.3542556375455,0.36009966458562476,0.08351531080536362
42,-1785.8747595261023,-0.18451087393624577,0.08715458973411055
43,-1081.120322799406,0.2721497600995816,0.07828605295684918
44,-244.6810572215577,1.4448541040850158,0.0836233512478405
45,-1389.8069340832074,0.47293287759818387,0.09026991569527004
46,-662.3298940082859,0.6129200424140586,0.0870758551543298
47,-863.9471346436434,0.5769530022224404,0.0901239767210328
48,-727.8581842512933,1.378122081959364,0.09592030009533418
49,-869.5383363651748,0.12541529955651676,0.09803527699370662
50,-1389.5410547282681,0.5762833026881793,0.0963503295325559
51,-800.243686199426,0.059712767965316785,0.09826792762421441
52,-465.0361436324463,0.6807443532335653,0.10162331418075103
53,-513.0892084601961,0.8303105530047823,0.10223240554500455
54,-800.9500938843453,0.09600979042101163,0.10225151418118908
55,-1578.3949651054304,-0.35491359355288105,0.10165427501717318
56,-1989.909275546198,-0.583762763806593,0.08926542927457458
57,-910.826598167058,-0.12425739342293592,0.07820167864210206
58,-398.7936670025954,0.9333618057780219,0.07829064463664512
59,-266.89048259286324,1.0407284142682387,0.08232882549811998
60,-916.2773425278,0.9068142548423651,0.08449070216373183
61,-1338.9298881383834,-0.03759754551133724,0.09999109736143827
62,-1848.8390242848884,-0.9190372962132574,0.09798780882571745
63,-623.2967237095818,1.1602863741795724,0.08802913856124688
64,-1670.9289992163676,-0.7110227887689426,0.08424337482263426
65,-2067.9532677513216,-0.36941192880229257,0.07187894052299873
66,-684.868810965351,0.447143359528912,0.06883586400429373
67,-747.9722019969191,1.3563512438504517,0.08047347346468903
68,-782.1469297228628,0.12892990324742576,0.09320897041908975
69,-1324.8198637209134,0.050389973825968826,0.08903713209210723
70,-1124.706507082295,0.15338656602456044,0.09602871653216222
71,-613.767550871102,1.1118389908909136,0.09711424231607506
72,-1157.93885573105,0.4498827812349835,0.09508262787400007
73,-1638.1443010098149,-0.15201958590035872,0.08790252548924322
74,-1257.302707608257,0.14040612862235957,0.08432216825883364
75,-370.40869396347,0.9341660729622989,0.08761028404076913
76,-1286.9282769057459,0.5701114296952472,0.08757092785872911
77,-468.28292682648646,1.0935146048725055,0.08567502379572096
78,-840.226509398419,0.4831653051524057,0.09292402163263468
79,-1917.0450632148106,-0.16115382559374658,0.09319035444742235
80,-726.2116536369961,0.51253030509037,0.08579416150295209
81,-1239.0038211656151,0.3422574243112666,0.08871074882394198
82,-832.608096979637,0.8039805917608938,0.0843726475501788
83,-820.7436623160977,1.0573329760995747,0.08769888367146075
84,-707.9347169996329,0.9698049474327683,0.09313666742814965
85,-542.4784517796884,0.9619555026989435,0.1068181470735348
86,-784.9701744596101,0.7376365715433939,0.10542117283791826
87,-84.12617146267074,1.6132815158978187,0.11103603561194972
88,-1045.1505083943114,0.9027771627415738,0.10822974357301143
89,-979.5536671504433,0.07599085354517271,0.10352507129725276
90,-1797.3429921026018,-0.1147568198628699,0.09249029662543949
91,-1233.5285793887324,-0.12480967473327033,0.0834067920339352
92,-1198.7196586141288,0.257909128760722,0.07650766878194544
93,-729.1111536796853,1.1724992576830577,0.0735694447163308
94,-736.6021990913285,0.384541760350686,0.07330827613320647
95,-1049.8707016218384,0.0012625618402845318,0.0768906191399525
96,-951.9675347476018,0.6531938214831425,0.08280426078290119
97,-1536.6054929580962,-0.2536913258711793,0.0869134197187698
98,-1042.1354646029727,0.0036811588976901066,0.08431775934841407
99,-428.8987074299406,1.0863984430600961,0.08129374835250705
100,-658.3711093618014,0.3842372503207407,0.08840292307728526
