coin,timeframe,status,bars,signals,trades,wins,losses,win_rate,pf,pnl,return,capital_final
ENA,1d,OK,588,15,0,0,0,0.0,0.0,0.0,0.0,100000.0
ONDO,15m,OK,20459,713,143,36,107,25.174825174825177,0.8131861760880371,-19358.330092511736,-19.358330092511736,80641.66990748826
ONDO,1h,OK,5115,162,38,14,24,36.84210526315789,1.4409048724891609,12552.382209542353,12.552382209542353,112552.38220954235
ONDO,4h,OK,1280,41,3,0,3,0.0,0.0,-3381.1601544000005,-3.3811601544000003,96618.8398456
ONDO,1d,OK,214,3,0,0,0,0.0,0.0,0.0,0.0,100000.0
SUI,15m,OK,88531,3211,686,195,491,28.425655976676385,0.9754070903983048,-13909.479559991669,-13.90947955999167,86090.52044000833
SUI,1h,OK,22133,933,163,45,118,27.607361963190186,0.9318624515294628,-8457.062538887578,-8.457062538887577,91542.93746111242
SUI,4h,OK,5534,250,7,3,4,42.857142857142854,1.8207258741195143,3919.0846269208123,3.9190846269208124,103919.08462692081
SUI,1d,OK,923,41,1,1,0,100.0,0.0,2850.0,2.85,102850.0
UNI,15m,OK,180441,7009,1342,363,979,27.049180327868854,0.9145487012108298,-65554.21263684957,-65.55421263684956,34445.78736315043
UNI,1h,OK,45114,2086,311,83,228,26.688102893890676,0.8802192858823139,-24550.777805406135,-24.550777805406135,75449.22219459387
UNI,4h,OK,11285,612,23,2,21,8.695652173913043,0.24149686746217383,-16854.007710459293,-16.854007710459292,83145.9922895407
UNI,1d,OK,1881,56,0,0,0,0.0,0.0,0.0,0.0,100000.0
