entry_time,entry_price,size,direction,exit_time,exit_price,pnl,pnl_pct,commission,slippage,duration_hours,strategy,coin,timeframe,is_winner
2020-08-11 09:45:00+00:00,2.85572715,350.3485968538696,LONG,2020-08-11 12:00:00+00:00,3.2201891000000002,125.06,12.7625,2.1288,0.5,2.25,backtest,SOL,15m,True
2020-08-11 20:45:00+00:00,3.0789386999999997,329.0296997361338,LONG,2020-08-11 23:45:00+00:00,3.2968507500000004,69.1,7.0775,2.0979,0.5063,3.0,backtest,SOL,15m,True
2020-08-13 20:45:00+00:00,3.70185,275.54490961074646,LONG,2020-08-13 22:00:00+00:00,3.5982000000000003,-31.08,-2.8,2.0115,0.5098,1.25,backtest,SOL,15m,False
2020-08-15 00:30:00+00:00,3.2846414999999998,309.61285250917786,LONG,2020-08-15 05:00:00+00:00,3.1967008500000005,-29.74,-2.6773,2.0067,0.5082,4.5,backtest,SOL,15m,False
2020-08-15 12:30:00+00:00,3.4217099999999996,296.35542978354766,LONG,2020-08-15 19:00:00+00:00,3.34362735,-25.65,-2.282,2.0049,0.5068,6.5,backtest,SOL,15m,False
2020-08-16 21:45:00+00:00,3.3772878,299.508548048016,LONG,2020-08-17 04:15:00+00:00,3.30744545,-23.43,-2.068,2.0021,0.5055,6.5,backtest,SOL,15m,False
2020-08-18 00:00:00+00:00,3.1018501499999998,325.3649660444773,LONG,2020-08-18 01:00:00+00:00,3.0296844000000003,-25.98,-2.3265,1.995,0.5044,1.0,backtest,SOL,15m,False
2020-08-18 23:15:00+00:00,3.3666825,299.01381456728984,LONG,2020-08-19 03:00:00+00:00,3.2933525,-24.42,-2.1781,1.9914,0.5031,3.75,backtest,SOL,15m,False
2020-08-19 11:45:00+00:00,3.0115049999999997,333.48494169973645,LONG,2020-08-19 16:30:00+00:00,2.9133426,-35.21,-3.2596,1.9758,0.5019,4.75,backtest,SOL,15m,False
2020-08-20 03:45:00+00:00,2.9305645499999997,341.51054014333334,LONG,2020-08-20 09:00:00+00:00,3.1087448500000003,58.29,6.0801,2.0625,0.5002,5.25,backtest,SOL,15m,True
2020-08-20 23:30:00+00:00,3.2166075,312.9696162699265,LONG,2020-08-21 00:15:00+00:00,3.130434,-29.46,-2.679,1.9864,0.5031,0.75,backtest,SOL,15m,False
2020-08-22 20:45:00+00:00,3.00960405,333.5333618462164,LONG,2020-08-23 02:00:00+00:00,3.1198393,34.22,3.6628,2.0444,0.5017,5.25,backtest,SOL,15m,True
2020-08-23 06:30:00+00:00,3.10155,324.76579995100184,LONG,2020-08-23 08:15:00+00:00,3.03398225,-24.44,-2.1785,1.9926,0.5034,1.75,backtest,SOL,15m,False
2020-08-24 19:30:00+00:00,3.2592288,308.3191154081477,LONG,2020-08-25 03:00:00+00:00,3.160419,-32.95,-3.0317,1.9793,0.5022,7.5,backtest,SOL,15m,False
2020-08-26 20:45:00+00:00,3.5367675,283.2067685435046,LONG,2020-08-27 01:30:00+00:00,3.6309836000000004,24.15,2.6639,2.03,0.5006,4.75,backtest,SOL,15m,True
2020-08-27 05:00:00+00:00,3.471735,289.222245987409,LONG,2020-08-27 06:00:00+00:00,3.39180325,-25.6,-2.3024,1.9851,0.5018,1.0,backtest,SOL,15m,False
2020-08-27 11:30:00+00:00,3.3634809,297.784187596438,LONG,2020-08-28 00:00:00+00:00,3.5420281000000005,50.61,5.3084,2.0564,0.5005,12.5,backtest,SOL,15m,True
2020-08-28 23:45:00+00:00,4.008303150000001,251.154955271218,LONG,2020-08-29 00:30:00+00:00,3.9256362,-23.26,-2.0624,1.9926,0.5031,0.75,backtest,SOL,15m,False
2020-08-30 00:15:00+00:00,3.92196,256.10372756636536,LONG,2020-08-30 03:30:00+00:00,3.9950015000000003,16.18,1.8624,2.0276,0.502,3.25,backtest,SOL,15m,True
2020-08-30 15:45:00+00:00,4.42971375,227.12466962862604,LONG,2020-08-30 18:45:00+00:00,4.6076950000000005,37.87,4.0179,2.0526,0.5028,3.0,backtest,SOL,15m,True
2020-08-30 22:00:00+00:00,4.3631804999999995,231.46792114680102,LONG,2020-08-31 01:30:00+00:00,4.502647550000001,29.73,3.1965,2.0522,0.5047,3.5,backtest,SOL,15m,True
2020-08-31 04:30:00+00:00,4.2521249999999995,238.2246121859264,LONG,2020-08-31 07:45:00+00:00,4.1037471000000005,-37.84,-3.4895,1.9906,0.5062,3.25,backtest,SOL,15m,False
2020-09-01 07:45:00+00:00,4.692345,215.07906594888925,LONG,2020-09-01 10:15:00+00:00,4.73753005,7.19,0.963,2.0282,0.5044,2.5,backtest,SOL,15m,True
2020-09-01 11:00:00+00:00,4.5472725,222.10997529742068,LONG,2020-09-01 16:00:00+00:00,4.447775,-24.6,-2.1881,1.9979,0.5047,5.0,backtest,SOL,15m,False
2020-09-01 23:00:00+00:00,4.485241499999999,224.6442362429805,LONG,2020-09-01 23:45:00+00:00,4.33753015,-35.67,-3.2933,1.982,0.5035,0.75,backtest,SOL,15m,False
2020-09-02 07:15:00+00:00,4.2447213,236.54449249668937,LONG,2020-09-02 09:00:00+00:00,4.147925000000001,-25.38,-2.2804,1.9852,0.5018,1.75,backtest,SOL,15m,False
2020-09-03 03:00:00+00:00,3.9819899999999997,251.52650210295877,LONG,2020-09-03 03:45:00+00:00,3.8958511000000002,-24.15,-2.1632,1.9815,0.5005,0.75,backtest,SOL,15m,False
2020-09-03 11:30:00+00:00,4.045121549999999,247.01607904844047,LONG,2020-09-03 12:00:00+00:00,3.8979500500000004,-38.82,-3.6382,1.962,0.4994,0.5,backtest,SOL,15m,False
2020-09-05 05:30:00+00:00,3.4684333499999997,286.9816054580419,LONG,2020-09-05 07:45:00+00:00,3.38360735,-26.81,-2.4457,1.9664,0.4974,2.25,backtest,SOL,15m,False
2020-09-06 03:30:00+00:00,2.3167577999999995,428.5058480216253,LONG,2020-09-06 07:30:00+00:00,2.67656105,151.54,15.5305,2.1397,0.4961,4.0,backtest,SOL,15m,True
2020-09-07 02:45:00+00:00,2.94237045,342.5658631574975,LONG,2020-09-07 04:00:00+00:00,2.8748618500000003,-25.62,-2.2944,1.9928,0.5037,1.25,backtest,SOL,15m,False
2020-09-08 03:15:00+00:00,2.7744865499999998,362.3886824719675,LONG,2020-09-08 04:00:00+00:00,2.7002492,-29.39,-2.6757,1.984,0.5025,0.75,backtest,SOL,15m,False
2020-09-09 02:15:00+00:00,2.4012,417.5214087022288,LONG,2020-09-09 07:45:00+00:00,2.568715,67.36,6.9763,2.0751,0.501,5.5,backtest,SOL,15m,True
2020-09-10 09:00:00+00:00,3.41500665,295.56088905841835,LONG,2020-09-10 12:45:00+00:00,3.7820080500000004,105.84,10.7467,2.1272,0.5044,3.75,backtest,SOL,15m,True
2020-09-10 16:15:00+00:00,3.4995488999999997,291.46102908885433,LONG,2020-09-10 16:30:00+00:00,3.3983000000000003,-32.03,-2.8932,2.0104,0.5097,0.25,backtest,SOL,15m,False
2020-09-11 11:45:00+00:00,3.1167576,326.245612705296,LONG,2020-09-11 16:30:00+00:00,3.37201315,80.65,8.1898,2.117,0.5082,4.75,backtest,SOL,15m,True
2020-09-12 04:30:00+00:00,3.3248615999999998,308.26800539074617,LONG,2020-09-12 06:30:00+00:00,3.2261861,-32.95,-2.9678,2.0195,0.5122,2.0,backtest,SOL,15m,False
2020-09-12 22:30:00+00:00,3.3300642,306.81181323987585,LONG,2020-09-13 01:15:00+00:00,3.2584699500000003,-24.5,-2.1499,2.0214,0.5106,2.75,backtest,SOL,15m,False
2020-09-13 12:45:00+00:00,3.0587286,333.2440468593631,LONG,2020-09-13 19:30:00+00:00,3.1658163000000004,33.1,3.5011,2.0743,0.5094,6.75,backtest,SOL,15m,True
2020-09-14 18:45:00+00:00,3.2911447499999995,310.73260459666295,LONG,2020-09-15 06:15:00+00:00,3.2107938000000003,-27.5,-2.4414,2.0204,0.5111,11.5,backtest,SOL,15m,False
2020-09-15 15:15:00+00:00,3.04041945,335.4687885718544,LONG,2020-09-15 23:00:00+00:00,2.9681152,-26.78,-2.3781,2.0157,0.5097,7.75,backtest,SOL,15m,False
2020-09-17 04:30:00+00:00,2.49054465,408.4798751672299,LONG,2020-09-17 10:15:00+00:00,2.37930975,-47.93,-4.4663,1.9892,0.5084,5.75,backtest,SOL,15m,False
2020-09-18 15:15:00+00:00,2.8307146499999996,357.716152376048,LONG,2020-09-18 21:00:00+00:00,3.12793525,103.68,10.4998,2.1316,0.506,5.75,backtest,SOL,15m,True
2020-09-19 05:30:00+00:00,3.0925455,330.80078128779195,LONG,2020-09-19 10:00:00+00:00,2.98940455,-36.64,-3.3351,2.0119,0.5113,4.5,backtest,SOL,15m,False
2020-09-20 13:00:00+00:00,2.8430208,358.56282184301693,LONG,2020-09-20 16:00:00+00:00,2.7776105,-25.98,-2.3007,2.0153,0.5094,3.0,backtest,SOL,15m,False
2020-09-21 07:00:00+00:00,2.8578281999999997,355.81333516136124,LONG,2020-09-21 07:30:00+00:00,2.7942022,-25.16,-2.2264,2.0111,0.5082,0.5,backtest,SOL,15m,False
2020-09-22 07:30:00+00:00,2.68484175,377.8200882919997,LONG,2020-09-22 12:45:00+00:00,2.8554715500000003,61.87,6.3553,2.0933,0.5069,5.25,backtest,SOL,15m,True
2020-09-23 03:45:00+00:00,2.8418201999999995,359.14575978734996,LONG,2020-09-23 07:30:00+00:00,2.7484251,-36.06,-3.2865,2.0077,0.5101,3.75,backtest,SOL,15m,False
2020-09-23 19:45:00+00:00,2.791395,364.35935520514727,LONG,2020-09-24 02:30:00+00:00,2.930534,48.1,4.9846,2.0849,0.5083,6.75,backtest,SOL,15m,True
2020-09-24 13:30:00+00:00,2.89714785,352.7381200510071,LONG,2020-09-24 16:45:00+00:00,3.148425,85.99,8.6733,2.1325,0.5107,3.25,backtest,SOL,15m,True
2020-09-25 02:15:00+00:00,3.01980915,341.2762224751481,LONG,2020-09-25 06:30:00+00:00,2.94422715,-28.34,-2.5029,2.0354,0.515,4.25,backtest,SOL,15m,False
2020-09-26 00:45:00+00:00,3.0989487,331.6623785151881,LONG,2020-09-26 05:15:00+00:00,3.1719132500000002,21.61,2.3545,2.0798,0.5136,4.5,backtest,SOL,15m,True
2020-09-26 09:45:00+00:00,3.1487736,327.11712908999414,LONG,2020-09-26 12:30:00+00:00,3.0817583500000003,-24.47,-2.1283,2.0381,0.5148,2.75,backtest,SOL,15m,False
2020-09-26 19:00:00+00:00,3.0396190499999998,338.07545331826645,LONG,2020-09-26 22:30:00+00:00,3.10154845,18.35,2.0374,2.0762,0.5136,3.5,backtest,SOL,15m,True
2020-09-27 03:45:00+00:00,3.1365674999999995,328.22746310261766,LONG,2020-09-27 06:45:00+00:00,3.05876985,-28.08,-2.4803,2.0335,0.5145,3.0,backtest,SOL,15m,False
2020-09-28 04:00:00+00:00,3.09924885,331.28973675210824,LONG,2020-09-28 07:00:00+00:00,3.0318833,-24.86,-2.1736,2.0312,0.5131,3.0,backtest,SOL,15m,False
2020-09-29 17:30:00+00:00,2.94377115,347.95953810078504,LONG,2020-09-29 23:15:00+00:00,2.9421282,-3.13,-0.0558,2.0481,0.5119,5.75,backtest,SOL,15m,False
2020-09-30 08:15:00+00:00,2.90575215,352.4220553789542,LONG,2020-09-30 15:30:00+00:00,2.8836574500000003,-10.34,-0.7604,2.0403,0.5118,7.25,backtest,SOL,15m,False
2020-09-30 19:15:00+00:00,2.84031945,360.19468042328276,LONG,2020-09-30 22:45:00+00:00,2.8925530000000004,16.24,1.839,2.065,0.5113,3.5,backtest,SOL,15m,True
2020-10-01 12:00:00+00:00,2.9464724999999996,347.7866237454262,LONG,2020-10-01 15:45:00+00:00,2.8485750000000003,-36.57,-3.3225,2.0154,0.5121,3.75,backtest,SOL,15m,False
2020-10-02 05:15:00+00:00,2.66623245,382.98822487973575,LONG,2020-10-02 08:45:00+00:00,2.60739565,-25.06,-2.2067,2.0197,0.5103,3.5,backtest,SOL,15m,False
2020-10-02 20:00:00+00:00,2.6146066500000003,389.61082449499673,LONG,2020-10-03 01:15:00+00:00,2.6280853,2.7,0.5155,2.0426,0.5091,5.25,backtest,SOL,15m,True
2020-10-03 14:45:00+00:00,2.6351169,386.700147763602,LONG,2020-10-03 18:45:00+00:00,2.6530728,4.39,0.6814,2.0449,0.5092,4.0,backtest,SOL,15m,True
2020-10-03 21:15:00+00:00,2.59479675,392.8979021885318,LONG,2020-10-04 00:00:00+00:00,2.5269359000000002,-29.18,-2.6153,2.0123,0.5095,2.75,backtest,SOL,15m,False
2020-10-04 16:00:00+00:00,2.431215,418.1535968093911,LONG,2020-10-04 20:00:00+00:00,2.48665605,20.62,2.2804,2.0564,0.5081,4.0,backtest,SOL,15m,True
2020-10-05 04:00:00+00:00,2.5086537,406.08833211146384,LONG,2020-10-05 10:45:00+00:00,2.51844015,1.42,0.3901,2.0414,0.5091,6.75,backtest,SOL,15m,True
2020-10-06 01:30:00+00:00,2.6075030999999997,390.7678442125041,LONG,2020-10-06 07:30:00+00:00,2.54202835,-28.11,-2.511,2.0123,0.5092,6.0,backtest,SOL,15m,False
2020-10-07 21:45:00+00:00,2.2730359499999997,447.05285751770134,LONG,2020-10-08 04:00:00+00:00,2.2169909500000005,-27.57,-2.4656,2.0073,0.5078,6.25,backtest,SOL,15m,False
2020-10-08 19:15:00+00:00,2.3261625,435.6787752780568,LONG,2020-10-08 22:30:00+00:00,2.3636176,13.77,1.6102,2.0432,0.5065,3.25,backtest,SOL,15m,True
2020-10-09 18:00:00+00:00,2.5043515499999995,405.24975714076305,LONG,2020-10-09 23:00:00+00:00,2.54602635,14.33,1.6641,2.0467,0.5072,5.0,backtest,SOL,15m,True
