entry_time,entry_price,size,direction,exit_time,exit_price,pnl,pnl_pct,commission,slippage,duration_hours,strategy,coin,timeframe,is_winner
2018-01-01 05:15:00+00:00,749.33448,1.3351847895748772,LONG,2018-01-01 06:45:00+00:00,761.79891,14.12,1.6634,2.0177,0.5,1.5,backtest,ETH,15m,True
2018-01-01 07:00:00+00:00,757.2884549999999,1.3230931902344802,LONG,2018-01-01 08:30:00+00:00,737.9708300000001,-28.04,-2.5509,1.9784,0.5007,1.5,backtest,ETH,15m,False
2018-01-01 09:00:00+00:00,750.5350799999999,1.3313276225101447,LONG,2018-01-01 11:00:00+00:00,742.5785250000001,-13.08,-1.0601,1.9878,0.4994,2.0,backtest,ETH,15m,False
2018-01-01 16:00:00+00:00,743.881755,1.341543044879576,LONG,2018-01-01 18:15:00+00:00,740.639495,-6.84,-0.4359,1.9915,0.4987,2.25,backtest,ETH,15m,False
2018-01-01 19:00:00+00:00,744.15189,1.3402034894929225,LONG,2018-01-01 20:30:00+00:00,757.5610300000001,15.46,1.8019,2.0126,0.4984,1.5,backtest,ETH,15m,True
2018-01-01 20:45:00+00:00,757.7987099999999,1.3181753690139313,LONG,2018-01-02 00:15:00+00:00,770.71445,14.51,1.7044,2.0149,0.4992,3.5,backtest,ETH,15m,True
2018-01-02 02:30:00+00:00,860.4400049999999,1.1626765075883838,LONG,2018-01-02 03:00:00+00:00,827.5360250000001,-40.72,-3.8241,1.9626,0.5,0.5,backtest,ETH,15m,False
2018-01-02 07:30:00+00:00,846.9232499999999,1.1764813936114533,LONG,2018-01-02 08:45:00+00:00,836.00179,-15.33,-1.2895,1.9799,0.4979,1.25,backtest,ETH,15m,False
2018-01-02 11:45:00+00:00,849.52455,1.1711325142354192,LONG,2018-01-02 15:45:00+00:00,865.12722,15.77,1.8366,2.0081,0.4972,4.0,backtest,ETH,15m,True
2018-01-02 16:00:00+00:00,870.3449549999999,1.144986363927529,LONG,2018-01-02 18:30:00+00:00,849.55501,-26.27,-2.3887,1.9693,0.498,2.5,backtest,ETH,15m,False
