,value
2024-04-02 08:00:00+00:00,10000.0
2024-04-02 08:15:00+00:00,10000.0
2024-04-02 08:30:00+00:00,10000.0
2024-04-02 08:45:00+00:00,10000.0
2024-04-02 09:00:00+00:00,10000.0
2024-04-02 09:15:00+00:00,10000.0
2024-04-02 09:30:00+00:00,10000.0
2024-04-02 09:45:00+00:00,10000.0
2024-04-02 10:00:00+00:00,10000.0
2024-04-02 10:15:00+00:00,10000.0
2024-04-02 10:30:00+00:00,10000.0
2024-04-02 10:45:00+00:00,10000.0
2024-04-02 11:00:00+00:00,10000.0
2024-04-02 11:15:00+00:00,10000.0
2024-04-02 11:30:00+00:00,10000.0
2024-04-02 11:45:00+00:00,10000.0
2024-04-02 12:00:00+00:00,10000.0
2024-04-02 12:15:00+00:00,10000.0
2024-04-02 12:30:00+00:00,10000.0
2024-04-02 12:45:00+00:00,10000.0
2024-04-02 13:00:00+00:00,10000.0
2024-04-02 13:15:00+00:00,9998.5
2024-04-02 13:30:00+00:00,10022.159305993691
2024-04-02 13:45:00+00:00,10108.819400630915
2024-04-02 14:00:00+00:00,10108.819400630915
2024-04-02 14:15:00+00:00,10108.819400630915
2024-04-02 14:30:00+00:00,10107.30307772082
2024-04-02 14:45:00+00:00,10053.100087981311
2024-04-02 15:00:00+00:00,10053.100087981311
2024-04-02 15:15:00+00:00,10053.100087981311
2024-04-02 15:30:00+00:00,10053.100087981311
2024-04-02 15:45:00+00:00,10053.100087981311
2024-04-02 16:00:00+00:00,10053.100087981311
2024-04-02 16:15:00+00:00,10053.100087981311
2024-04-02 16:30:00+00:00,10053.100087981311
2024-04-02 16:45:00+00:00,10053.100087981311
2024-04-02 17:00:00+00:00,10053.100087981311
2024-04-02 17:15:00+00:00,10053.100087981311
2024-04-02 17:30:00+00:00,10053.100087981311
2024-04-02 17:45:00+00:00,10051.592122968113
2024-04-02 18:00:00+00:00,10089.010609647945
2024-04-02 18:15:00+00:00,10136.407359442397
2024-04-02 18:30:00+00:00,10157.189586944376
2024-04-02 18:45:00+00:00,10155.666008506334
2024-04-02 19:00:00+00:00,10144.873245072746
2024-04-02 19:15:00+00:00,10121.812707202977
2024-04-02 19:30:00+00:00,10121.812707202977
2024-04-02 19:45:00+00:00,10121.812707202977
2024-04-02 20:00:00+00:00,10121.812707202977
2024-04-02 20:15:00+00:00,10121.812707202977
2024-04-02 20:30:00+00:00,10121.812707202977
2024-04-02 20:45:00+00:00,10121.812707202977
2024-04-02 21:00:00+00:00,10121.812707202977
2024-04-02 21:15:00+00:00,10121.812707202977
2024-04-02 21:30:00+00:00,10121.812707202977
2024-04-02 21:45:00+00:00,10121.812707202977
2024-04-02 22:00:00+00:00,10121.812707202977
2024-04-02 22:15:00+00:00,10121.812707202977
2024-04-02 22:30:00+00:00,10121.812707202977
2024-04-02 22:45:00+00:00,10121.812707202977
2024-04-02 23:00:00+00:00,10121.812707202977
2024-04-02 23:15:00+00:00,10121.812707202977
2024-04-02 23:30:00+00:00,10121.812707202977
2024-04-02 23:45:00+00:00,10121.812707202977
2024-04-03 00:00:00+00:00,10121.812707202977
2024-04-03 00:15:00+00:00,10121.812707202977
2024-04-03 00:30:00+00:00,10121.812707202977
2024-04-03 00:45:00+00:00,10121.812707202977
2024-04-03 01:00:00+00:00,10121.812707202977
2024-04-03 01:15:00+00:00,10121.812707202977
2024-04-03 01:30:00+00:00,10121.812707202977
2024-04-03 01:45:00+00:00,10121.812707202977
2024-04-03 02:00:00+00:00,10121.812707202977
2024-04-03 02:15:00+00:00,10121.812707202977
2024-04-03 02:30:00+00:00,10120.294435296895
2024-04-03 02:45:00+00:00,10133.757547724856
2024-04-03 03:00:00+00:00,10133.757547724856
2024-04-03 03:15:00+00:00,10133.757547724856
2024-04-03 03:30:00+00:00,10172.922965697104
2024-04-03 03:45:00+00:00,10174.146885008737
2024-04-03 04:00:00+00:00,10145.996740841183
2024-04-03 04:15:00+00:00,10126.41403185506
2024-04-03 04:30:00+00:00,10131.309709101592
2024-04-03 04:45:00+00:00,10125.190112543427
2024-04-03 05:00:00+00:00,10098.000745035504
2024-04-03 05:15:00+00:00,10098.000745035504
2024-04-03 05:30:00+00:00,10098.000745035504
2024-04-03 05:45:00+00:00,10098.000745035504
2024-04-03 06:00:00+00:00,10098.000745035504
2024-04-03 06:15:00+00:00,10098.000745035504
2024-04-03 06:30:00+00:00,10098.000745035504
2024-04-03 06:45:00+00:00,10098.000745035504
2024-04-03 07:00:00+00:00,10098.000745035504
2024-04-03 07:15:00+00:00,10098.000745035504
2024-04-03 07:30:00+00:00,10096.48604492375
2024-04-03 07:45:00+00:00,10153.359842223374
2024-04-03 08:00:00+00:00,10140.592255074478
2024-04-03 08:15:00+00:00,10109.253632072643
2024-04-03 08:30:00+00:00,10126.663978184773
2024-04-03 08:45:00+00:00,10177.734326780355
2024-04-03 09:00:00+00:00,10198.117779663567
2024-04-03 09:15:00+00:00,10196.588061996617
2024-04-03 09:30:00+00:00,10180.297139025908
2024-04-03 09:45:00+00:00,10182.469262088669
2024-04-03 10:00:00+00:00,10202.01836965352
2024-04-03 10:15:00+00:00,10182.469262088669
2024-04-03 10:30:00+00:00,10178.125015963147
2024-04-03 10:45:00+00:00,10181.38320055729
2024-04-03 11:00:00+00:00,10166.863100913497
2024-04-03 11:15:00+00:00,10166.863100913497
2024-04-03 11:30:00+00:00,10166.863100913497
2024-04-03 11:45:00+00:00,10166.863100913497
2024-04-03 12:00:00+00:00,10166.863100913497
2024-04-03 12:15:00+00:00,10166.863100913497
2024-04-03 12:30:00+00:00,10166.863100913497
2024-04-03 12:45:00+00:00,10166.863100913497
2024-04-03 13:00:00+00:00,10166.863100913497
2024-04-03 13:15:00+00:00,10166.863100913497
2024-04-03 13:30:00+00:00,10166.863100913497
2024-04-03 13:45:00+00:00,10166.863100913497
2024-04-03 14:00:00+00:00,10165.338071448361
2024-04-03 14:15:00+00:00,10205.962761020884
2024-04-03 14:30:00+00:00,10233.758601254718
2024-04-03 14:45:00+00:00,10263.087488984525
2024-04-03 15:00:00+00:00,10261.548025861179
2024-04-03 15:15:00+00:00,10257.566226641398
2024-04-03 15:30:00+00:00,10315.302315328217
2024-04-03 15:45:00+00:00,10428.981189878246
2024-04-03 16:00:00+00:00,10428.981189878246
2024-04-03 16:15:00+00:00,10428.981189878246
2024-04-03 16:30:00+00:00,10427.416842699764
2024-04-03 16:45:00+00:00,10383.0344950357
2024-04-03 17:00:00+00:00,10383.0344950357
2024-04-03 17:15:00+00:00,10383.0344950357
2024-04-03 17:30:00+00:00,10383.0344950357
2024-04-03 17:45:00+00:00,10383.0344950357
2024-04-03 18:00:00+00:00,10381.477039861444
2024-04-03 18:15:00+00:00,10372.148167898249
2024-04-03 18:30:00+00:00,10406.664994162069
2024-04-03 18:45:00+00:00,10351.043460855914
2024-04-03 19:00:00+00:00,10351.043460855914
2024-04-03 19:15:00+00:00,10351.043460855914
2024-04-03 19:30:00+00:00,10351.043460855914
2024-04-03 19:45:00+00:00,10351.043460855914
2024-04-03 20:00:00+00:00,10351.043460855914
2024-04-03 20:15:00+00:00,10351.043460855914
2024-04-03 20:30:00+00:00,10351.043460855914
2024-04-03 20:45:00+00:00,10351.043460855914
2024-04-03 21:00:00+00:00,10351.043460855914
2024-04-03 21:15:00+00:00,10351.043460855914
2024-04-03 21:30:00+00:00,10351.043460855914
2024-04-03 21:45:00+00:00,10351.043460855914
2024-04-03 22:00:00+00:00,10351.043460855914
2024-04-03 22:15:00+00:00,10349.490804336785
2024-04-03 22:30:00+00:00,10342.20774825175
2024-04-03 22:45:00+00:00,10318.849621814028
2024-04-03 23:00:00+00:00,10318.849621814028
2024-04-03 23:15:00+00:00,10318.849621814028
2024-04-03 23:30:00+00:00,10318.849621814028
2024-04-03 23:45:00+00:00,10318.849621814028
2024-04-04 00:00:00+00:00,10318.849621814028
2024-04-04 00:15:00+00:00,10318.849621814028
2024-04-04 00:30:00+00:00,10318.849621814028
2024-04-04 00:45:00+00:00,10318.849621814028
2024-04-04 01:00:00+00:00,10318.849621814028
2024-04-04 01:15:00+00:00,10318.849621814028
