entry_bar,exit_bar,entry_price,exit_price,pnl,pnl_pct,exit_reason
104,356,50731.363005,52345.47009204001,3022.591237173896,0.03181674986498838,tp
584,653,61750.85999999999,60497.15827900501,-1985.210786672731,-0.02030257912189378,sl
663,673,61630.78999499999,60581.84110641,-1630.5451996547345,-0.017019883870953035,sl
683,692,61531.850549999996,60685.86488850001,-1294.6138952161564,-0.013748744007179677,sl
702,968,61507.088175,63684.38186001,3286.5558623884717,0.03539906943432537,tp
978,1025,63879.924,66180.61314,3453.0917588933808,0.03601584028183891,tp
1035,1122,66573.08991000001,68685.8508945,3143.9668625389168,0.031735960991989935,tp
1132,1139,64232.089994999995,63055.306575,-1867.9713805987412,-0.018320802267084824,sl
13092,13098,55551.54188999999,57805.00123090501,4060.073572112611,0.040565198808832095,tp
13108,13120,57229.710555,55530.636762015,-3083.1558807911933,-0.02968866654239191,sl
16309,16375,61077.033255,60208.5816495,-1433.5825995285122,-0.014218955296570556,sl
19365,19406,56346.159,58187.6166375,3247.3386516758037,0.032681156447594,tp
