entry_bar,exit_bar,entry_price,exit_price,pnl,pnl_pct,exit_reason
0,18,51622.85853,50958.99223776,-1221.6932490506879,-0.012859928937375661,sl
28,71,51209.592,50607.57997179,-1102.1003792654228,-0.011755845041881874,sl
81,99,51179.52697499999,50577.4452267,-1089.5108073084266,-0.011764113189129172,sl
109,207,50727.59112,51777.79260277501,1894.0975030821864,0.020702766671704995,tp
217,332,51559.106669999994,50970.36515845501,-1064.2582857442612,-0.01141876866318069,sl
342,356,51127.53099,52345.47009204001,2194.038892368553,0.023821590412379245,tp
366,375,53433.673485,54827.662455000005,2454.895347379439,0.026088211404580442,tp
385,398,54575.274,55711.85461776,2006.422834925237,0.020825926000115073,tp
408,441,55871.94200999999,57313.928700000004,2533.315753159288,0.02580878054573298,tp
456,517,56501.76676499999,57903.034009995004,2491.710751577717,0.024800414663546846,tp
527,546,59329.660005,61092.89363232,3053.422396469541,0.02971926060542759,tp
556,557,63721.96506,58611.97935,-8463.882761560293,-0.08019190408187328,sl
567,568,60981.575549999994,59843.130466500006,-1818.4107934626954,-0.018668672844744005,sl
578,581,61276.993185,62553.10076352,1990.5666709001234,0.02082523166023055,tp
591,607,61406.748029999995,63190.10414250001,2828.2140783535433,0.029041696062927145,tp
617,649,62513.49112499999,61408.7792505,-1766.7845372313895,-0.017671575441068184,sl
659,664,60830.389995,62156.656125,2141.1433444219874,0.021802689907281805,tp
674,713,60718.674165,62150.195826765004,2361.0781960273307,0.023576299737292056,tp
723,742,62022.09555,61039.344050505,-1620.869495949315,-0.01584518373299297,sl
752,901,62033.07103499999,61228.05066,-1306.2556073493615,-0.012977277467784732,sl
911,959,61745.907525,62903.58442402501,1862.1660120763845,0.018749046623960933,tp
969,1001,63772.25018999999,65401.78275,2580.669284822565,0.025552376702171458,tp
1011,1030,65100.714089999994,66480.452855145,2190.4111772488686,0.021193911379183333,tp
1040,1059,66724.43554499999,68396.2857495,2639.2448091689294,0.025056041176586663,tp
1069,1075,68449.997895,67434.040802655,-1599.1252254515712,-0.014842324668927515,sl
1085,1094,66894.4305,66000.88305,-1417.4974895594642,-0.013357576158750712,sl
1104,1121,66744.025335,68286.4506945,2418.9226780258323,0.02310956451544988,tp
1131,1132,65528.72799,63834.136965000005,-2763.699812268911,-0.025860276507406056,sl
1142,1148,62361.16499999999,63862.404514155,2507.076707785527,0.024073307709293272,tp
1158,1162,64131.64979999999,63294.946695,-1388.5053902369255,-0.013046648692327707,sl
1172,1178,62835.391995,64515.084350985,2806.9820851018594,0.02673162850831993,tp
1188,1323,66207.48719999999,67768.228935,2535.86908629119,0.023573492984038477,tp
13080,13096,55265.87913,56734.249234725,2919.417799634437,0.02656919835240481,tp
13106,13111,57423.567435,56778.732432000004,-1263.8614891372417,-0.011229448670703152,sl
13121,13152,55653.67293,56886.51057597001,2464.211276439004,0.02215195477791093,tp
13366,13397,57458.825054999994,58681.69465491,2415.0695222711365,0.021282537516899618,tp
16048,16098,57182.587005,58910.51102949001,3495.068064517938,0.030217660917280998,tp
16108,16126,59592.131174999995,61263.65718783001,3334.336036822293,0.02804944176138565,tp
16237,16390,60665.3175,59925.177252584996,-1487.5712024342938,-0.012200385292881755,sl
19092,19166,54498.085425,55715.3293995,2689.1805139318894,0.022335536468986006,tp
19176,19190,55949.05054499999,57091.2630885,2507.796896898639,0.02041522657442293,tp
19200,19207,57416.693999999996,56652.921369,-1664.1842902572535,-0.013302274613721125,sl
19364,19370,56160.066,57428.227052235,2786.641025901612,0.02258118877985296,tp
19380,19556,57478.00464,59022.452920545,3383.91797081237,0.02687024871893683,tp
19651,19775,59943.956999999995,59302.941696,-1379.7983501082927,-0.01069357673534947,sl
20184,20196,63979.994009999995,63324.90171,-1306.4698745708301,-0.010239017838882602,sl
