TP,SL,Trades,WR,PF,PnL,Return,Capital
0.5,0.25,74,66.21621621621621,3.967665414021136,18857.28995300214,18.857289953002137,118857.28995300214
0.5,0.5,73,69.86301369863014,2.3360766706820937,14674.50012967577,14.674500129675769,114674.50012967577
0.5,0.75,73,75.34246575342466,2.0413152781821493,14101.979161016861,14.101979161016862,114101.97916101686
0.5,1.0,72,76.38888888888889,1.6173025502050011,10335.933924359197,10.335933924359196,110335.9339243592
0.5,1.25,70,87.14285714285714,2.740910758085255,19907.374072744627,19.907374072744627,119907.37407274463
0.5,1.5,70,87.14285714285714,2.2761625140159296,17338.35040461237,17.33835040461237,117338.35040461237
0.5,1.75,69,88.40579710144928,2.175180412253045,16759.496125398233,16.759496125398233,116759.49612539823
0.5,2.0,68,94.11764705882352,4.034090424645749,25426.406795983145,25.42640679598314,125426.40679598314
0.5,2.25,68,97.05882352941177,7.861703090633194,30936.760896162683,30.936760896162685,130936.76089616268
0.5,2.5,68,97.05882352941177,7.056109428776864,30301.997920103866,30.30199792010387,130301.99792010387
0.5,2.75,68,97.05882352941177,6.397006024860929,29668.777305646945,29.66877730564694,129668.77730564695
0.5,3.0,68,97.05882352941177,5.847770376442871,29037.09905279173,29.03709905279173,129037.09905279173
1.0,0.25,74,50.0,3.9983531038693623,29934.638522822075,29.934638522822077,129934.63852282208
1.0,0.5,72,54.166666666666664,2.3704354542123314,23568.778711207706,23.568778711207706,123568.7787112077
1.0,0.75,72,58.333333333333336,1.8794104058138965,20033.60358963121,20.03360358963121,120033.60358963121
1.0,1.0,71,59.154929577464785,1.4479432394217462,12783.480841315788,12.78348084131579,112783.48084131579
1.0,1.25,69,68.11594202898551,1.7064959612564352,19910.914247379216,19.910914247379218,119910.91424737922
1.0,1.5,69,69.56521739130434,1.5216024114998985,16467.839170463296,16.467839170463296,116467.8391704633
1.0,1.75,67,71.64179104477611,1.4344715664107563,14490.01645527553,14.490016455275532,114490.01645527553
1.0,2.0,65,78.46153846153847,1.803870206473104,23819.370175159725,23.819370175159726,123819.37017515973
1.0,2.25,65,83.07692307692308,2.17022532238411,31377.448736831167,31.377448736831166,131377.44873683117
1.0,2.5,63,82.53968253968253,1.8706265863221319,25516.35715266998,25.516357152669983,125516.35715266998
1.0,2.75,64,85.9375,2.218686798317018,32549.0857613399,32.549085761339896,132549.0857613399
1.0,3.0,63,85.71428571428571,1.9886757407477975,28447.809248852296,28.447809248852295,128447.8092488523
1.5,0.25,74,36.486486486486484,3.4287928785969854,31032.69141667885,31.032691416678848,131032.69141667885
1.5,0.5,72,40.27777777777778,2.0009813188689995,22825.766748263588,22.825766748263586,122825.76674826359
1.5,0.75,72,44.44444444444444,1.5890697868679946,18147.230660607092,18.147230660607093,118147.23066060709
1.5,1.0,71,46.478873239436616,1.2888049389431042,10982.82508534746,10.98282508534746,110982.82508534746
1.5,1.25,69,53.62318840579711,1.3600056294476366,15171.758726354776,15.171758726354776,115171.75872635478
1.5,1.5,68,60.29411764705882,1.503651173124983,21240.826013464495,21.240826013464496,121240.8260134645
1.5,1.75,66,60.60606060606061,1.3038624298802908,13893.489099517989,13.89348909951799,113893.48909951799
1.5,2.0,64,64.0625,1.3169001525212463,14903.389810129156,14.903389810129156,114903.38981012916
1.5,2.25,63,68.25396825396825,1.4035518898900685,19278.405707074053,19.278405707074054,119278.40570707405
1.5,2.5,61,70.49180327868852,1.4055301529254465,19216.00056727887,19.21600056727887,119216.00056727887
1.5,2.75,61,72.1311475409836,1.3898689179938417,18832.549721271076,18.83254972127108,118832.54972127108
1.5,3.0,60,73.33333333333333,1.356983605409484,17345.272961581635,17.345272961581635,117345.27296158164
2.0,0.25,73,21.91780821917808,2.2420075546874245,18011.51931771096,18.01151931771096,118011.51931771096
2.0,0.5,71,28.169014084507044,1.56696955827816,14294.45976316907,14.29445976316907,114294.45976316907
2.0,0.75,71,32.3943661971831,1.2751399716860994,9381.999727352537,9.381999727352538,109381.99972735254
2.0,1.0,69,34.78260869565217,1.0520466856867292,2242.6295621707104,2.2426295621707104,102242.62956217071
2.0,1.25,68,42.64705882352941,1.1684780214688129,8321.568494006075,8.321568494006074,108321.56849400607
2.0,1.5,66,48.484848484848484,1.2358150255248772,12110.064787466254,12.110064787466253,112110.06478746625
2.0,1.75,63,50.79365079365079,1.159275062935122,8609.533095336243,8.609533095336243,108609.53309533624
2.0,2.0,62,53.2258064516129,1.11546384233956,6696.282053483985,6.696282053483984,106696.28205348398
2.0,2.25,61,55.73770491803278,1.0926499967444236,5818.723959499199,5.818723959499199,105818.7239594992
2.0,2.5,59,61.016949152542374,1.2186657884587313,13285.598283486688,13.285598283486689,113285.59828348669
2.0,2.75,58,62.06896551724138,1.1606114203536948,9987.012579710252,9.987012579710251,109987.01257971025
2.0,3.0,57,63.1578947368421,1.1152237471546953,7292.540286382617,7.292540286382616,107292.54028638262
2.5,0.25,73,16.43835616438356,1.9721029497786815,14639.35397631007,14.63935397631007,114639.35397631007
2.5,0.5,71,22.535211267605636,1.4560100667355431,12039.943303783512,12.039943303783511,112039.94330378351
2.5,0.75,71,26.76056338028169,1.2148484932525867,7696.678566385992,7.696678566385992,107696.67856638599
2.5,1.0,68,27.941176470588236,0.9519049079171031,-2151.5626196672383,-2.151562619667238,97848.43738033276
2.5,1.25,67,32.83582089552239,0.9596212317226908,-2095.8610238999536,-2.0958610238999533,97904.13897610005
2.5,1.5,65,38.46153846153847,1.022912833789699,1278.9753802118503,1.2789753802118502,101278.97538021185
2.5,1.75,62,41.935483870967744,1.0115443777506707,677.3228090510238,0.6773228090510238,100677.32280905102
2.5,2.0,61,45.90163934426229,1.0390466180091287,2448.7955775889423,2.448795577588942,102448.79557758894
2.5,2.25,60,50.0,1.084594659131696,5756.391828299238,5.756391828299238,105756.39182829924
2.5,2.5,58,55.172413793103445,1.2012698319986967,13446.863054722096,13.446863054722098,113446.8630547221
2.5,2.75,57,54.385964912280706,1.056723962929724,4014.769046199508,4.0147690461995085,104014.76904619951
2.5,3.0,56,55.35714285714286,1.0066496771863298,480.4291400992661,0.48042914009926607,100480.42914009927
3.0,0.25,73,10.95890410958904,1.476043402326772,7277.937756427869,7.27793775642787,107277.93775642787
3.0,0.5,71,15.492957746478872,1.0862587065786624,2371.3502869568474,2.3713502869568472,102371.35028695685
3.0,0.75,71,21.12676056338028,1.0566944761443642,2131.7260571474762,2.131726057147476,102131.72605714748
3.0,1.0,68,26.47058823529412,1.0628292669992236,2896.6705151977512,2.8966705151977514,102896.67051519775
3.0,1.25,67,28.35820895522388,0.9281527141936932,-3871.489317694548,-3.871489317694548,96128.51068230545
3.0,1.5,65,33.84615384615385,1.0018633609232492,107.42714066273766,0.10742714066273766,100107.42714066274
3.0,1.75,62,35.483870967741936,0.916082663867107,-5101.130299506389,-5.101130299506389,94898.86970049361
3.0,2.0,59,38.983050847457626,0.9321242522241829,-4328.3917886815325,-4.328391788681532,95671.60821131847
3.0,2.25,58,39.6551724137931,0.8473619361154802,-10407.940254142566,-10.407940254142565,89592.05974585743
3.0,2.5,56,48.214285714285715,1.0912409974932682,6361.965081681279,6.36196508168128,106361.96508168128
3.0,2.75,55,47.27272727272727,0.9505859091965073,-3638.1786321425607,-3.638178632142561,96361.82136785744
3.0,3.0,54,48.148148148148145,0.8991647795331359,-7591.858682696358,-7.591858682696357,92408.14131730364
3.5,0.25,73,6.8493150684931505,1.0116743696401642,185.55059276086104,0.18555059276086103,100185.55059276086
3.5,0.5,71,11.267605633802818,0.8696087756499398,-3756.5803211317543,-3.756580321131754,96243.41967886825
3.5,0.75,71,16.901408450704224,0.9272254864350971,-2894.254820603135,-2.894254820603135,97105.74517939686
3.5,1.0,68,20.588235294117645,0.8385512802930035,-7790.669112841628,-7.790669112841628,92209.33088715837
3.5,1.25,67,25.37313432835821,0.8896329764191104,-6277.565090646094,-6.277565090646093,93722.4349093539
3.5,1.5,65,29.230769230769234,0.9036701294205653,-6042.344497439364,-6.042344497439364,93957.65550256064
3.5,1.75,61,27.86885245901639,0.7179786350064054,-18549.757994244123,-18.549757994244125,81450.24200575588
3.5,2.0,58,31.03448275862069,0.7281819384958613,-18301.344707601515,-18.301344707601512,81698.65529239849
3.5,2.25,57,35.08771929824561,0.7808420139919043,-15536.55989732474,-15.53655989732474,84463.44010267526
3.5,2.5,55,43.63636363636363,1.0218884005898783,1643.4857672733342,1.6434857672733343,101643.48576727333
3.5,2.75,54,42.592592592592595,0.8888187123912062,-8781.816189222925,-8.781816189222926,91218.18381077707
3.5,3.0,52,42.30769230769231,0.8050914503285248,-15751.841450730019,-15.75184145073002,84248.15854926998
4.0,0.25,73,4.10958904109589,0.6737705233290933,-5309.866751542693,-5.309866751542693,94690.1332484573
4.0,0.5,70,10.0,0.868580223319672,-3814.5881899600063,-3.814588189960006,96185.41181004
4.0,0.75,70,14.285714285714285,0.8657191961967372,-5452.93132696129,-5.4529313269612905,94547.06867303871
4.0,1.0,67,17.91044776119403,0.798163785886377,-10023.342090218459,-10.02334209021846,89976.65790978154
4.0,1.25,66,21.21212121212121,0.7963035515928663,-11946.56350731499,-11.946563507314991,88053.43649268501
4.0,1.5,64,25.0,0.8259073693518574,-11339.822909058974,-11.339822909058974,88660.17709094103
4.0,1.75,60,23.333333333333332,0.6439460216333138,-24210.38903773889,-24.21038903773889,75789.61096226111
4.0,2.0,57,26.31578947368421,0.6557930130995676,-23998.207521291653,-23.998207521291654,76001.79247870835
4.0,2.25,56,30.357142857142854,0.7147322552097519,-21085.616324761562,-21.085616324761563,78914.38367523844
4.0,2.5,54,38.88888888888889,0.9531104227279878,-3744.8016164596193,-3.744801616459619,96255.19838354038
4.0,2.75,53,37.735849056603776,0.8277140201995287,-14430.604197316658,-14.430604197316658,85569.39580268334
4.0,3.0,51,37.254901960784316,0.7468428761239104,-21713.892987346568,-21.71389298734657,78286.10701265343
4.5,0.25,73,2.73972602739726,0.5021054295728685,-8158.199752748085,-8.158199752748086,91841.80024725191
4.5,0.5,70,8.571428571428571,0.8229435593973371,-5214.673260888303,-5.214673260888302,94785.3267391117
4.5,0.75,70,12.857142857142856,0.8607170699678687,-5769.630159302644,-5.769630159302644,94230.36984069736
4.5,1.0,67,14.925373134328357,0.7043834067915354,-14633.059768350766,-14.633059768350765,85366.94023164923
4.5,1.25,66,18.181818181818183,0.7258238621129012,-16095.225876616503,-16.095225876616503,83904.7741233835
4.5,1.5,64,21.875,0.7686927638120357,-15151.44628300934,-15.15144628300934,84848.55371699066
4.5,1.75,60,21.666666666666668,0.6440424407285434,-24155.231948508765,-24.155231948508764,75844.76805149124
4.5,2.0,57,24.561403508771928,0.6579312239875723,-23779.380541227976,-23.779380541227976,76220.61945877202
4.5,2.25,56,28.57142857142857,0.7250638285918936,-20325.784372202965,-20.325784372202964,79674.21562779704
4.5,2.5,54,37.03703703703704,0.9843482915721713,-1267.0889655327337,-1.2670889655327338,98732.91103446727
4.5,2.75,53,35.84905660377358,0.8483347376862024,-12840.33759431688,-12.84033759431688,87159.66240568312
4.5,3.0,51,35.294117647058826,0.7594788403441959,-20815.803598256825,-20.815803598256824,79184.19640174317
5.0,0.25,73,2.73972602739726,0.5558935180545278,-7319.566974971502,-7.319566974971502,92680.4330250285
5.0,0.5,70,7.142857142857142,0.7506601004306552,-7453.017133741334,-7.453017133741334,92546.98286625867
5.0,0.75,70,11.428571428571429,0.835454808396249,-6954.379237045112,-6.954379237045112,93045.62076295489
5.0,1.0,67,13.432835820895523,0.688780261122719,-15908.003840257836,-15.908003840257837,84091.99615974216
5.0,1.25,66,16.666666666666664,0.7245393441585901,-16793.607610806997,-16.793607610806998,83206.392389193
5.0,1.5,64,17.1875,0.6263727813227354,-24985.963257194293,-24.985963257194292,75014.0367428057
5.0,1.75,60,18.333333333333332,0.5728692642971659,-29410.210303002867,-29.410210303002867,70589.78969699713
5.0,2.0,57,21.052631578947366,0.5886119001706156,-29081.056675873784,-29.081056675873786,70918.94332412622
5.0,2.25,56,26.785714285714285,0.7379655747906373,-20312.983344966517,-20.31298334496652,79687.01665503348
5.0,2.5,54,37.03703703703704,1.0903744688580608,7637.789721100169,7.637789721100169,107637.78972110017
5.0,2.75,53,35.84905660377358,0.9386585622543184,-5410.150254304288,-5.410150254304288,94589.84974569571
5.0,3.0,51,35.294117647058826,0.8394137227290451,-14455.187901271798,-14.455187901271799,85544.8120987282
