asset,timeframe,combination,data_bars,signals_generated,total_trades,win_rate,profit_factor,avg_win,avg_loss,total_return,avg_bars_held
SOL,15m,SOL_15m,183970,69,69,0.07246376811594203,0.8200645220199252,0.15,-0.014290034119675369,-16.45621836592236,37.072463768115945
LINK,15m,LINK_15m,238797,151,147,0.1564625850340136,1.6308754745676795,0.14999999999999997,-0.017059904989089755,133.45717813528688,59.59863945578231
LDO,15m,LDO_15m,122994,1156,1129,0.07794508414526129,0.9373403102019486,0.14999999999999997,-0.013527760553734565,-88.23987364376822,49.179805137289634
SUI,15m,SUI_15m,88531,578,572,0.09090909090909091,1.0836251110782604,0.15000000000000002,-0.013842425619939978,60.19386776312117,54.28846153846154
HBAR,15m,HBAR_15m,214345,2,2,0.0,0.0,0.0,-0.017822629631674754,-3.5645259263349507,1.5
ENA,15m,ENA_15m,56387,263,261,0.0842911877394636,0.7183989595426719,0.14999999999999997,-0.01921986550418019,-129.3547855499066,52.02298850574713
ALGO,15m,ALGO_15m,223833,632,618,0.10679611650485436,1.0204638064576783,0.15,-0.017575128578986486,19.852902439945613,55.153721682847895
ONDO,15m,ONDO_15m,20459,255,246,0.044715447154471545,0.6852787965496505,0.14999999999999997,-0.01024586873415099,-75.77791525254825,55.13414634146341
